"Tag name","Element name","Description","May contain","May occur in","Attributes","Allowable values","Repeatable?","Mandatory?","Example"
"<alloc>","alloc","""1"" implies the file was found in an allocated state. Unallocated discovery can be shown with a ""0"" here, or using the unalloc element.","","""fileobject""","",,"no","no",""
"<allocated_only>","allocated_only","An indicator that this volume only contains fileobjects for allocated files, not recovered or deleted files.","","""volume""","",,"no","no",""
"<arch>","arch","","(mirrors type xs:string)","""execution_environment""","",,"no","no",""
"<atime>","atime","The time the file was last accesed.","","""fileobject""","""prec""",,"no","no",""
"<bkup_time>","bkup_time","The time the file was last backed up. (Recorded in HFS+.)","","""fileobject""","""prec""",,"no","no",""
"<block_count>","block_count","","(mirrors type xs:positiveInteger)","""volume""","",,"no","no",""
"<block_size>","block_size","The size of the partition's block unit, in bytes. Note that a block is not necessarily a disk sector; FAT and NTFS both use clusters as their blocks.","(mirrors type xs:positiveInteger)","""volume""","",,"no","no",""
"<build_environment>","build_environment","A manifest of how the environment was set when the XML generator was compiled. Note that due to restrictions of element repetitions in XML Schema 1.0's ""all"" and ""sequence"" specificiers, the build_environment definition requires children appear in the order as generated by an exemplar utility (Fiwalk for now).","""compilation_date"",""compiler"",""library""","""creator""","",,"yes","no",""
"<byte_run>","byte_run","A specific location of bytes on a mass storage device. These are grouped in a byte_runs array. Child elements are one or more cryptographic hashes of the run's content. One might use this for sector-level hashes of a file's contents.","""hashdigest""","""byte_runs""","""file_offset"",""fill"",""fs_offset"",""img_offset"",""len"",""type"",""uncompressed_len""",,"yes","no",""
"<byte_runs>","byte_runs","","""byte_run""","""fileobject"",""volume""","",,"yes","no",""
"<clocktime>","clocktime","","(mirrors type xs:float)","","",,"no","no",""
"<command_line>","command_line","The command line used to invoke the program.","(mirrors type xs:string)","""execution_environment""","",,"no","no",""
"<compilation_date>","compilation_date","The date the program was compiled.","(mirrors type xs:dateTime)","""build_environment""","",,"no","no",""
"<compiler>","compiler","The compiler (if any) used to compile the program.","(mirrors type xs:string)","""build_environment""","",,"no","no",""
"<compressed>","compressed","A 0-or-1 Boolean value.","","""fileobject""","",,"no","no",""
"<creator>","creator","A block of build environment and execution provenance for the XML file. Note that due to restrictions of element repetitions in XML Schema 1.0's ""all"" and ""sequence"" specifiers, the creator definition requires children appear in the order as generated by an exemplar utility (Fiwalk for now).","""build_environment"",""execution_environment"",""library"",""program"",""version""","""dfxml""","""version""",,"no","no",""
"<crtime>","crtime","The time the file was created. Sometimes called ""Birth time.""","","""fileobject""","""prec""",,"no","no",""
"<ctime>","ctime","The time the file metadata were last modified.","","""fileobject""","""prec""",,"no","no",""
"<dfxml>","dfxml","","""creator"",""fileobject"",""metadata"",""rusage"",""source"",""volume""","","""catalogDesignDate"",""version""",,"yes","no",""
"<dtime>","dtime","The time the file was recorded as deleted. (Recorded in Ext2 file systems.)","","""fileobject""","""prec""",,"no","no",""
"<error>","error","A string describing an error encountered processing a file.","(mirrors type xs:string)","""fileobject""","",,"no","no",""
"<execution_environment>","execution_environment","A description of the execution environment when the XML file was generated.","""arch"",""command_line"",""host"",""os_release"",""os_sysname"",""os_version"",""start_time"",""uid"",""username""","""creator""","",,"yes","no",""
"<filename>","filename","The file name, or full known path of the file relative to the volume root.","","""fileobject""","""xml:lang""",,"yes","no",""
"<fileobject>","fileobject","A file and its metadata. Byte-location information should be recorded when possible. Note that due to restrictions of element repetitions in XML Schema 1.0's ""all"" and ""sequence"" specificiers, the fileobject definition requires children appear in the order as generated by an exemplar utility (Fiwalk for now).","""alloc"",""atime"",""bkup_time"",""byte_runs"",""compressed"",""crtime"",""ctime"",""dtime"",""error"",""filename"",""filesize"",""gid"",""hashdigest"",""id"",""inode"",""libmagic"",""link_target"",""meta_type"",""mode"",""mtime"",""name_type"",""nlink"",""orphan"",""parent_object"",""partition"",""seq"",""uid"",""unalloc"",""unused"",""used""","""dfxml"",""volume""","",,"yes","no",""
"<filesize>","filesize","The size of the file in bytes, as reported by the file system.","","""fileobject""","",,"no","no",""
"<first_block>","first_block","Address of first block of the file system, in bytes. This appears to be relative to the beginning of the partition; in The SleuthKit's code base, the code ""->first_block"" only ever appears on the left-hand side of an assignment statement when ""0"" is on the right-hand-side. (That is, this is always 0 in TSK-based results.)","(mirrors type xs:nonNegativeInteger)","""volume""","",,"no","no",""
"<ftype>","ftype","A numerical encoding of the file system type. The SleuthKit uses a custom enumeration of types known to the code base; the Linux kernel source code uses a different enumeration for recognized file systems.","(mirrors type xs:positiveInteger)","""volume""","",,"no","no",""
"<ftype_str>","ftype_str","A human-readable string label of the file system type. Can include annotations, such as using automatic detection to determine the precise type (e.g. leaving it up to the program to distinguish FAT12 from FAT16).","(mirrors type xs:string)","""volume""","",,"no","no",""
"<gid>","gid","User-group identifier of the file.","(mirrors type xs:nonNegativeInteger)","""fileobject""","",,"no","no",""
"<hashdigest>","hashdigest","A cryptographic hash.","","""byte_run"",""fileobject""","""base"",""type""",,"yes","no",""
"<host>","host","The name of the host machine in which the program was executed.","(mirrors type xs:string)","""execution_environment""","",,"no","no",""
"<id>","id","A unique identifier for the file. It is distinct to both the input data and the process parameters of the generating tool. (That is, it is commonly defined by incrementing a global counter in walk-encounter order of each file and directory.)","(mirrors type xs:string)","""fileobject""","",,"no","no",""
